PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2021,47,2.51362,2.45867,14918,8183,X,13401,3719,3103,43324,3519,1762089
National,X,2021,48,2.56387,2.56351,15167,11304,X,17353,4893,4012,52729,3545,2056903
National,X,2021,49,2.74219,2.71846,14971,11373,X,19971,4863,3891,55069,3544,2025745
National,X,2021,50,3.1546,3.09823,16287,13615,X,23450,5232,3961,62545,3518,2018736
National,X,2021,51,4.007,4.07867,18515,22557,X,25073,7773,5307,79225,3496,1942424
National,X,2021,52,4.89397,5.06901,24109,38300,X,28952,13512,8989,113862,3455,2246237
National,X,2022,1,4.29914,4.28066,17044,31478,X,24738,12063,7939,93262,3487,2178681
National,X,2022,2,3.50099,3.41579,12223,21830,X,20214,8735,6181,69183,3499,2025389
National,X,2022,3,2.77457,2.67796,9492,15006,X,13268,6185,4547,48498,3503,1811003
National,X,2022,4,2.05464,1.97776,7309,9877,X,9526,4582,3516,34810,3485,1760073
National,X,2022,5,1.66744,1.56091,6082,6431,X,7748,3018,2552,25831,3415,1654872
National,X,2022,6,1.43558,1.34542,6395,5170,X,7610,2401,2155,23731,3474,1763832
National,X,2022,7,1.48076,1.37085,6917,4645,X,8500,2083,1801,23946,3474,1746795
National,X,2022,8,1.46137,1.37026,7057,4638,X,8330,1816,1768,23609,3472,1722955
National,X,2022,9,1.57063,1.42301,7423,5008,X,9830,1864,1676,25801,3470,1813130
National,X,2022,10,1.69692,1.54683,8210,5060,X,11085,1951,1771,28077,3485,1815133
National,X,2022,11,1.83274,1.67881,9042,5914,X,12124,2202,2077,31359,3454,1867926
National,X,2022,12,1.88031,1.73443,9302,5973,X,12648,2334,2166,32423,3449,1869370
National,X,2022,13,1.99637,1.85462,9613,6759,X,13660,2384,2406,34822,3443,1877580
National,X,2022,14,2.10974,1.99404,10562,7272,X,15187,2573,2550,38144,3453,1912899
National,X,2022,15,2.18573,2.12964,11336,7838,X,16095,2868,2829,40966,3446,1923613
National,X,2022,16,2.21825,2.1833,11734,8315,X,15748,3172,3117,42086,3457,1927635
National,X,2022,17,2.31926,2.21509,12070,8422,X,16372,3274,3282,43420,3426,1960190
National,X,2022,18,2.38743,2.4143,12835,9402,X,18631,3608,3323,47799,3394,1979830
National,X,2022,19,2.5726,2.60892,14243,10135,X,19989,3843,3815,52025,3376,1994121
National,X,2022,20,2.46368,2.60434,15055,10460,X,20746,3985,3835,54081,3414,2076569
National,X,2022,21,2.39323,2.66831,14561,10167,X,19982,4010,3665,52385,3351,1963229
National,X,2022,22,2.42307,2.64646,15809,10584,X,17507,4060,3903,51863,3345,1959711
National,X,2022,23,2.15926,2.29329,14154,9654,X,13726,3941,3765,45240,3342,1972714
National,X,2022,24,1.98659,2.0741,12858,8941,X,11205,3665,3581,40250,3302,1940597
National,X,2022,25,1.87626,1.91807,11865,8676,X,9933,3736,3620,37830,3355,1972297
National,X,2022,26,1.80173,1.80208,11066,8004,X,8513,3523,3460,34566,3237,1918113
National,X,2022,27,1.81325,1.79307,10580,8380,X,8593,3697,3733,34983,3345,1951013
National,X,2022,28,1.67273,1.66869,9525,8324,X,8111,3546,3505,33011,3313,1978256
National,X,2022,29,1.65436,1.64913,9361,8219,X,8116,3483,3432,32611,3313,1977461
National,X,2022,30,1.66503,1.64799,9153,8056,X,7859,3485,3487,32040,3289,1944189
National,X,2022,31,1.52846,1.5292,8659,7295,X,7476,3104,3107,29641,3305,1938338
National,X,2022,32,1.51766,1.51741,8329,6816,X,7813,2804,2880,28642,3198,1887562
National,X,2022,33,1.59458,1.61916,9479,6659,X,9934,2819,2681,31572,3293,1949894
National,X,2022,34,1.82581,1.81145,10792,7079,X,12593,2730,2593,35787,3280,1975601
National,X,2022,35,1.9377,1.89564,11524,6980,X,13887,2670,2452,37513,3260,1978914
National,X,2022,36,2.00147,1.94934,12548,6978,X,13475,2701,2632,38334,3290,1966513
National,X,2022,37,2.03389,1.97433,13405,6751,X,14610,2618,2454,39838,3322,2017799
National,X,2022,38,2.27821,2.19998,15939,6924,X,16713,2658,2492,44726,3334,2033022
National,X,2022,39,2.35649,2.29832,17080,6945,X,16825,2795,2676,46321,3353,2015431
National,X,2022,40,2.61257,2.59379,18503,10718,X,20141,4094,3862,57318,3684,2209814
National,X,2022,41,3.00763,2.85133,20623,11519,X,22779,4394,4073,63388,3720,2223106
National,X,2022,42,3.31975,3.31688,23713,13719,X,28368,5303,4512,75615,3726,2279700
National,X,2022,43,4.3682,4.4466,32012,19586,X,45003,7037,5858,109496,3788,2462467
National,X,2022,44,5.42144,5.54702,37474,25460,X,61015,8469,6829,139247,3776,2510305
National,X,2022,45,5.73522,5.67263,38651,26941,X,57053,9791,7619,140055,3793,2468962
National,X,2022,46,5.91793,5.73531,34849,28672,X,55229,10171,8498,137419,3777,2396019
National,X,2022,47,7.42531,7.37142,39539,36157,X,62925,13876,12439,164936,3765,2237505
National,X,2022,48,7.21822,7.24012,38495,48042,X,63623,18626,16887,185673,3767,2564503
National,X,2022,49,6.87034,6.82928,32316,40778,X,62563,16557,15034,167248,3750,2448985
National,X,2022,50,6.29772,6.46231,28976,38007,X,55613,15506,13570,151672,3751,2347026
National,X,2022,51,6.00293,6.1412,25500,34587,X,41624,14564,13703,129978,3715,2116491
National,X,2022,52,5.33838,5.46656,22891,31974,X,27251,14961,15454,112531,3703,2058533
National,X,2023,1,3.93482,4.07732,16651,27662,X,21006,13549,13166,92034,3740,2257219
National,X,2023,2,2.94564,3.05773,12231,19912,X,18061,9135,8381,67720,3737,2214718
National,X,2023,3,2.63811,2.70671,11720,15844,X,16915,7000,6291,57770,3730,2134322
National,X,2023,4,2.62522,2.67225,12170,15618,X,18680,6410,5353,58231,3716,2179097
National,X,2023,5,2.58477,2.68591,12686,15506,X,19751,6113,5270,59326,3734,2208786
National,X,2023,6,2.59148,2.70465,13271,15921,X,20964,6469,5633,62258,3735,2301891
National,X,2023,7,2.5701,2.6371,13127,15055,X,19818,6263,5402,59665,3695,2262519
National,X,2023,8,2.52707,2.58651,13478,13880,X,18410,6054,5401,57223,3719,2212367
National,X,2023,9,2.4046,2.44348,12693,13849,X,18281,5769,5090,55682,3725,2278801
National,X,2023,10,2.3571,2.40445,12840,13379,X,18388,5365,4714,54686,3722,2274369
National,X,2023,11,2.3545,2.43524,13086,13264,X,17814,5298,4801,54263,3713,2228243
National,X,2023,12,2.31096,2.41343,13043,13685,X,18685,5286,4695,55394,3665,2295244
National,X,2023,13,2.25771,2.34891,12413,13208,X,18078,5005,4638,53342,3688,2270922
National,X,2023,14,2.12953,2.20628,11586,11976,X,15673,4783,4337,48355,3680,2191695
National,X,2023,15,2.01047,2.0726,11151,11853,X,14832,4552,4337,46725,3665,2254413
National,X,2023,16,1.90776,1.95437,9912,11388,X,14788,4361,4058,44507,3680,2277306
National,X,2023,17,1.90393,1.97315,10041,11176,X,15803,4133,3649,44802,3677,2270577
National,X,2023,18,1.93608,2.0174,10013,11224,X,16115,4283,3947,45582,3652,2259439
National,X,2023,19,1.90846,1.99349,10187,11067,X,16725,4072,3718,45769,3654,2295923
National,X,2023,20,1.88236,1.96616,9740,10697,X,15517,3875,3458,43287,3653,2201602
National,X,2023,21,1.83328,1.91398,9389,10386,X,14611,3640,3490,41516,3518,2169098
National,X,2023,22,1.83857,1.93826,9568,10413,X,14220,3845,3543,41589,3601,2145684
National,X,2023,23,1.57748,1.69283,8309,9954,X,11628,3622,3426,36939,3583,2182091
National,X,2023,24,1.48614,1.57462,7741,9289,X,10223,3447,3180,33880,3589,2151633
National,X,2023,25,1.36472,1.44401,6998,8727,X,8941,3236,2987,30889,3582,2139112
National,X,2023,26,1.27095,1.32385,6388,8130,X,8012,3046,2910,28486,3539,2151758
National,X,2023,27,1.22553,1.29091,5944,7472,X,7475,2940,2817,26648,3569,2064286
National,X,2023,28,1.15793,1.20177,5608,7567,X,7043,2925,2760,25903,3542,2155400
National,X,2023,29,1.12685,1.19268,5718,7476,X,6836,2931,2841,25802,3560,2163359
National,X,2023,30,1.16805,1.23085,5812,7475,X,7046,3137,2947,26417,3551,2146245
National,X,2023,31,1.20299,1.26099,5678,7979,X,6966,3273,3000,26896,3542,2132922
National,X,2023,32,1.27357,1.35931,5982,8642,X,7764,3560,3365,29313,3521,2156467
National,X,2023,33,1.44821,1.53965,6688,9791,X,9759,3784,3641,33663,3533,2186399
National,X,2023,34,1.70391,1.8262,8234,11256,X,13151,4300,4038,40979,3524,2243946
National,X,2023,35,1.93305,1.97735,8980,11792,X,14664,4630,4345,44411,3537,2245988
National,X,2023,36,2.00204,2.0246,9546,11819,X,14159,4621,4589,44734,3538,2209523
National,X,2023,37,1.94047,1.99147,9485,11798,X,14904,4699,4401,45287,3558,2274050
National,X,2023,38,2.03761,2.13438,10912,11970,X,16162,4711,4510,48265,3558,2261308
National,X,2023,39,2.08992,2.17945,11376,12299,X,16110,4934,4550,49269,3552,2260617
National,X,2023,40,2.27793,2.25998,13519,13442,X,19002,5294,5055,56312,4131,2491698
National,X,2023,41,2.33671,2.31342,14421,13972,X,18598,5435,5098,57524,4152,2486536
National,X,2023,42,2.52187,2.51544,15720,14465,X,20305,5816,6196,62502,4137,2484738
National,X,2023,43,2.7123,2.68556,16987,15481,X,22514,6082,6712,67776,4163,2523716
National,X,2023,44,2.94534,2.91432,17798,16589,X,24808,6341,6696,72232,4157,2478520
National,X,2023,45,3.40907,3.32776,21464,19331,X,29464,7439,7761,85459,4153,2568065
National,X,2023,46,3.68972,3.5743,22031,21568,X,30863,8086,8425,90973,4156,2545200
National,X,2023,47,3.92848,3.7901,22396,20392,X,25940,8378,8418,85524,4169,2256510
National,X,2023,48,4.03342,3.96247,22647,28355,X,30362,11139,11208,103711,4142,2617331
National,X,2023,49,4.38274,4.35808,23372,29042,X,38214,12204,11372,114204,4106,2620511
National,X,2023,50,5.1835,5.21044,26102,35037,X,48365,14003,12573,136080,4122,2611680
National,X,2023,51,6.22917,6.31311,29797,45280,X,53512,18118,16629,163336,4093,2587250
National,X,2023,52,6.7957,6.90766,31511,50073,X,41815,21707,21720,166826,4084,2415088
National,X,2024,1,5.71368,5.7628,24694,47041,X,32334,20537,19384,143990,4112,2498612
National,X,2024,2,4.65928,4.75417,18158,37112,X,31411,16413,15396,118490,4110,2492338
National,X,2024,3,4.3245,4.35187,16166,30584,X,29175,12647,11566,100138,4121,2301033
National,X,2024,4,4.22931,4.22442,16239,31806,X,34400,12500,10657,105602,4145,2499800
National,X,2024,5,4.41989,4.27929,17275,30432,X,38582,11604,10061,107954,4127,2522709
National,X,2024,6,4.45634,4.40086,17972,31622,X,41799,11550,10051,112994,4130,2567545
National,X,2024,7,4.35464,4.33656,17415,30781,X,39011,11242,9970,108419,4119,2500114
National,X,2024,8,4.33678,4.32509,17663,31284,X,37153,11328,10184,107612,4111,2488087
National,X,2024,9,4.05611,4.08117,17345,30563,X,36016,11054,9918,104896,4110,2570243
National,X,2024,10,3.71978,3.73652,16514,26681,X,33112,9716,8825,94848,4114,2538404
National,X,2024,11,3.39628,3.40044,15886,23711,X,29174,8472,7746,84989,4053,2499356
National,X,2024,12,3.0858,3.15503,15113,22028,X,26599,7832,7129,78701,4107,2494462
National,X,2024,13,2.9714,3.03369,14446,21244,X,23603,7506,7111,73910,4101,2436307
National,X,2024,14,2.76565,2.83173,13934,20152,X,20522,7159,6787,68554,4076,2420926
National,X,2024,15,2.53804,2.59227,13273,18246,X,19776,6845,6383,64523,4091,2489051
National,X,2024,16,2.24764,2.29494,11860,15643,X,18351,5945,5776,57575,4077,2508780
National,X,2024,17,2.19003,2.24404,11399,14896,X,18208,5643,5293,55439,4050,2470504
National,X,2024,18,2.0989,2.1458,11137,14267,X,17619,5365,5141,53529,4003,2494591
National,X,2024,19,2.00353,2.04091,10369,13415,X,16483,5177,5020,50464,4050,2472624
National,X,2024,20,1.97624,2.03567,10406,13165,X,15798,5051,4991,49411,4007,2427265
National,X,2024,21,1.90643,1.95779,9850,12855,X,14635,5285,4962,47587,3968,2430650
National,X,2024,22,1.87634,1.92153,9668,11933,X,13387,4835,4948,44771,3956,2329971
National,X,2024,23,1.66026,1.72595,8276,11775,X,11489,4808,4907,41255,3928,2390280
National,X,2024,24,1.58147,1.60554,7428,10852,X,10240,4591,4638,37749,3923,2351169
National,X,2024,25,1.49219,1.54241,6737,10989,X,9063,4334,4687,35810,3920,2321695
National,X,2024,26,1.46571,1.49584,6273,10637,X,9106,4531,4689,35236,3868,2355607
National,X,2024,27,1.37621,1.44688,5818,9484,X,8092,4037,4701,32132,3900,2220776
National,X,2024,28,1.45491,1.44758,6105,10810,X,8834,4636,4632,35017,3887,2419002
National,X,2024,29,1.45267,1.43219,5727,10279,X,8337,4495,4666,33504,3872,2339356
National,X,2024,30,1.52184,1.50415,6025,10741,X,8690,4555,4817,34828,3914,2315454
National,X,2024,31,1.53512,1.4947,6014,10830,X,8946,4451,4779,35020,3920,2342939
National,X,2024,32,1.53963,1.50488,6283,10778,X,9110,4309,4610,35090,3910,2331748
National,X,2024,33,1.56538,1.5652,6612,10932,X,10516,4427,4572,37059,3922,2367690
National,X,2024,34,1.76722,1.75921,7615,11680,X,13442,4543,4571,41851,3926,2378965
National,X,2024,35,1.93367,1.88884,8439,12223,X,15731,4556,4733,45682,3924,2418520
National,X,2024,36,1.91961,1.90742,8653,12074,X,14746,4689,4578,44740,3934,2345582
National,X,2024,37,1.95498,1.90629,8863,12549,X,15823,4677,4742,46654,3880,2447376
National,X,2024,38,1.95298,1.94745,9500,12326,X,17207,4740,4768,48541,3944,2492541
National,X,2024,39,1.93469,1.93695,9474,12162,X,16120,4632,4484,46872,3920,2419887
National,X,2024,40,1.95754,1.86691,10210,12598,X,17950,4708,4768,50234,4242,2690750
National,X,2024,41,2.07308,1.96447,10789,12981,X,18810,4896,4713,52189,4257,2656652
National,X,2024,42,2.10983,2.02736,11027,13551,X,19574,4951,4820,53923,4254,2659769
National,X,2024,43,2.26408,2.17274,12600,14535,X,22964,5151,5047,60297,4255,2775162
National,X,2024,44,2.366,2.25127,13416,15307,X,22380,5380,5080,61563,4194,2734588
National,X,2024,45,2.53298,2.40724,15138,16379,X,23837,5835,5447,66636,4241,2768146
National,X,2024,46,2.74006,2.59326,16335,16875,X,24823,6199,5616,69848,4256,2693446
National,X,2024,47,2.9504,2.80987,18089,18253,X,27520,6740,5918,76520,4220,2723261
National,X,2024,48,3.21432,3.1376,19896,17501,X,23829,6591,6444,74261,4237,2366812
National,X,2024,49,3.36606,3.25857,19980,22877,X,27198,8878,8915,87848,4235,2695904
National,X,2024,50,3.80971,3.69395,22167,25148,X,33885,9957,9880,101037,4241,2735203
National,X,2024,51,4.94558,4.81084,28832,33741,X,45534,12703,12228,133038,4202,2765378
National,X,2024,52,6.76842,6.67255,37511,44836,X,48211,18454,18630,167642,4200,2512412
National,X,2025,1,6.3374,6.1794,33437,48748,X,37589,21907,23108,164789,4229,2666748
National,X,2025,2,5.36051,5.30846,23578,42938,X,36122,19329,17898,139865,4223,2634756
National,X,2025,3,5.76802,5.70145,25992,44129,X,50286,19138,17249,156794,4233,2750072
National,X,2025,4,6.9845,6.85676,30161,50999,X,59197,21106,18013,179476,4237,2617503
National,X,2025,5,7.77291,7.4342,32892,59971,X,72416,26213,23247,214739,4234,2888529
National,X,2025,6,7.8507,7.71698,35154,59857,X,76187,26715,24986,222899,4229,2888422
National,X,2025,7,6.94919,7.07469,29464,52682,X,62220,24327,23967,192660,4227,2723229
National,X,2025,8,5.98046,6.0427,24765,44929,X,46617,20416,20511,157238,4222,2602114
National,X,2025,9,4.93887,4.85975,20634,37751,X,39217,17598,18325,133525,4216,2747567
National,X,2025,10,4.31678,4.2809,18352,31558,X,35626,14179,14550,114265,4206,2669181
National,X,2025,11,3.88855,3.88745,17112,28537,X,33024,12489,12641,103803,4185,2670206
National,X,2025,12,3.31604,3.32813,15123,24192,X,28177,10048,10433,87973,4173,2643314
National,X,2025,13,2.95612,2.97203,13735,21534,X,25315,8396,8462,77442,4179,2605693
National,X,2025,14,2.61982,2.61412,12044,18649,X,21801,7314,7151,66959,4169,2561436
National,X,2025,15,2.45037,2.38458,11613,16700,X,19766,6470,6408,60957,4159,2556303
National,X,2025,16,2.2757,2.21627,11034,15477,X,17588,5911,6085,56095,4084,2531059
